Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,O 1s,529.9,0.15,O²⁻,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li4Ti5O12,lithium titanium oxide,lithium titanate; LTO,alkali; oxide,Ti 2p3/2,458.6,0.15,Ti⁴⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li4Ti5O12,lithium titanium oxide,lithium titanate; LTO,alkali; oxide,Ti 2p3/2,456.8,0.15,Ti³⁺ (red.),6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li4Ti5O12,lithium titanium oxide,lithium titanate; LTO,alkali; oxide,Ti 3s,62.1,0.15,Ti⁴⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li4Ti5O12,lithium titanium oxide,lithium titanate; LTO,alkali; oxide,Li 1s,54.6,0.15,Li⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li4Ti5O12,lithium titanium oxide,lithium titanate; LTO,alkali; oxide,O 1s,529.9,0.15,O²⁻,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
Li2SO4,dilithium sulfate,"Lithium sulfate; Lithium sulphate; dilithium sulfate; Sulfuric acid, dilithium salt",alkali; sulfate,S 2p3/2,169.6,0.15,SO₄²⁻,7,10.1016/S0378-7753(03)00291-X,Not reported
Na2SO4,disodium sulfate,SODIUM SULFATE; Disodium sulfate; Sodium sulfate anhydrous; Sodium sulfate,alkali; sulfate,S 2p3/2,169.4,0.15,SO₄²⁻,7,10.1016/S0378-7753(03)00291-X,Not reported
Na2SO3,disodium sulfite,SODIUM SULFITE; Disodium sulfite; Sodium sulfite anhydrous; Sodium sulphite,alkali; sulfite,S 2p3/2,167.8,0.15,SO₃²⁻,7,10.1016/S0378-7753(03)00291-X,Not reported
S,sulfur,,sulfur,S 2p3/2,164.0,0.15,S⁰,7,10.1016/S0378-7753(03)00291-X,Not reported
Na2S,disodium sulfide,Sodium sulphide; Sodium sulfuret; sodium sulfide anhydrous; sodium monosulphide,alkali; sulfide,S 2p3/2,161.4,0.15,S²⁻,7,10.1016/S0378-7753(03)00291-X,Not reported
Si,silicon,Silicon metal,IV semiconductor,Si 2p3/2,99.4,0.15,Si⁰,10,10.1103/PhysRevB.38.6084,Bulk Si 2p3/2 (ΔBE)
Si,silicon,Silicon metal,IV semiconductor,Si 2p3/2,100.4,0.15,Si⁺,10,10.1103/PhysRevB.38.6084,Bulk Si 2p3/2 (ΔBE)
Si,silicon,Silicon metal,IV semiconductor,Si 2p3/2,101.2,0.15,Si²⁺,10,10.1103/PhysRevB.38.6084,Bulk Si 2p3/2 (ΔBE)
Si,silicon,Silicon metal,IV semiconductor,Si 2p3/2,101.9,0.15,Si³⁺,10,10.1103/PhysRevB.38.6084,Bulk Si 2p3/2 (ΔBE)
Si,silicon,Silicon metal,IV semiconductor,Si 2p3/2,103.3,0.15,Si⁴⁺,10,10.1103/PhysRevB.38.6084,Bulk Si 2p3/2 (ΔBE)
SiO2,dioxosilane,SILICON DIOXIDE; Silica; Dioxosilane; Silicic anhydride; Diatomaceous silica,oxide,Si 2p3/2,103.5,0.15,SiO₂,8,10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV
